project_id,WH_Code,supp_name,Supp_Code,Supp_Invoice_No,Arrival_Date,Request_Date,Line_Item_No,Ord_Type,SKU,alternate_sku,Req_Qty,Alloc_Qty,Ship_Ref,Damage_Qty,User_Field1,User_Field2,Complete_Date,ord_date,ord_status,cf_owner_Name,Ro_NO,User_Field7,Grp,description,native_description,unit_rate,Volume
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195242334,,,1,B,108362593,108362593,4,4,2049090556 / 8285522974 / FOR ICOR,0,1.0,,7/15/2024 15:52:04.95,2/28/2024 14:09:29.347,C,SG00(S),PHILIPS-S224300,Signify Luminaires (Chengdu) C,,DN391B LED11/840 P10PSU D200 AL WP GMG2,,,0.038796
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195244200,,,1,B,108338694,108338694,4,4,2049091665 / 8285522974 / FOR ICOR,0,1.0,,7/15/2024 15:53:17.763,2/28/2024 14:16:59.257,C,SG00(S),PHILIPS-S224301,Signify Luminaires (Chengdu) C,,DN393B LED22/840 P19PSU D200 AL WP GMG2,,,0.038796
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195634958,,,4,B,108360739,108360739,10,10,2050441532 / ICOR-08-007 / CAAU6295320,0,4.0,,12/2/2024 17:14:13.95,8/28/2024 09:23:38.253,C,SG00(S),PHILIPS-S226810,Signify Netherlands B.V.,,LED PLC 6.9W 830 2P G24d-2,,,0.00183
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,2050521351,,,1,S,108364615,108364615,1,1,MGR,0,,,9/4/2024 10:29:10.837,9/4/2024 10:24:28.177,C,SG00(S),PHILIPS-S227007,,,BVP428 2200/8557 BV S5 D25 T35 100K,,,0.224928
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,MANUAL IN -  WIRA,,,1,S,108342379,108342379,2112,2112,2524379896,0,1.0,,7/18/2024 17:12:02.5,7/18/2024 17:06:27.467,C,SG00(S),PHILIPS-S226187,,,LEDBulb 12W E27 6500K 230V 1PF/12 9 APR,,,1.07712
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,MID YEAR COUNT 2024,,,1,S,108314096,108314096,48,48,STOCK COUNT,0,,,7/24/2024 11:06:06.917,7/24/2024 11:00:03.073,C,SG00(S),PHILIPS-S226251,,,BN068C LED3/WW L300 G2,,,0.018432
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,STOCK COUNT JAN 24,,,1,S,108227365,108227365,20,20,JAN 2024,0,,,1/26/2024 15:53:44.337,1/26/2024 15:51:38.35,C,SG00(S),PHILIPS-S224015,,,LED PLC 7.5W 840 2P G24d,,,0.00492
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195146472,12/25/2023 00:00:00,,1,S,107956156,107956156,480,480,2048728446,0,1.0,,1/18/2024 16:14:48.81,12/13/2023 12:14:00,C,SG00(S),PHILIPS-SG223402,Signify Electronics,,HF-S 114-35 TL5 II 220-240V 50/60HZ,,,0.14592
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195166177,12/28/2023 00:00:00,,2,S,108294939,108294939,516,516,2048805006,0,2.0,,1/10/2024 17:20:23.04,12/22/2023 11:00:00,C,SG00(S),PHILIPS-SG223536,Signify Netherlands B.V.,,LEDBulb 12W E27 4000K 230V 1PF/12 9 APR,,,0.26316
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195158257,12/29/2023 00:00:00,,1,S,108314100,108314100,312,312,2048684611,0,1.0,,1/10/2024 17:19:01.457,12/19/2023 15:44:00,C,SG00(S),PHILIPS-SG223486,SIGNIFY  LUMINAIRES (SHANGHAI),,BN068C LED9/CW L900 G2,,,0.23244
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195158990,12/29/2023 00:00:00,,1,S,108194568,108194568,373,373,2048729113,0,1.0,,1/10/2024 17:19:24.09,12/19/2023 15:13:00,C,SG00(S),PHILIPS-SG223479,SIGNIFY  LUMINAIRES (SHANGHAI),,BY398Z CM-S,,,0.105186
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195166176,1/1/2024 00:00:00,,2,S,108300735,108300735,1220,1220,2048805008,0,2.0,,1/10/2024 17:20:07.94,12/22/2023 11:00:00,C,SG00(S),PHILIPS-SG223534,Signify Netherlands B.V.,,MAS LEDtube 600mm HO 8W840 T8,,,0.5978
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195166214,1/1/2024 00:00:00,,2,S,108300649,108300649,2000,2000,2048804986,0,2.0,,1/10/2024 17:19:47.56,12/22/2023 10:43:00,C,SG00(S),PHILIPS-SG223531,Signify Netherlands B.V.,,MAS LEDtube 1200mm HO 14W840 T8,,,2.362
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195166214,1/1/2024 00:00:00,,4,S,108300650,108300650,3200,3200,2048804986,0,4.0,,1/10/2024 17:19:47.56,12/22/2023 10:43:00,C,SG00(S),PHILIPS-SG223531,Signify Netherlands B.V.,,MAS LEDtube 1200mm HO 14W865 T8,,,5.312
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195166624,1/2/2024 00:00:00,,2,S,108326628,108326628,300,300,2048805012,0,2.0,,1/10/2024 17:18:53.953,12/22/2023 11:14:00,C,SG00(S),PHILIPS-SG223542,Signify Netherlands B.V.,,CL200 EC RD 10W 65K W HV 02,,,1.479
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195166626,1/2/2024 00:00:00,,2,S,108326628,108326628,324,324,2048805011,0,2.0,,1/10/2024 17:20:54.62,12/22/2023 11:14:00,C,SG00(S),PHILIPS-SG223540,Signify Netherlands B.V.,,CL200 EC RD 10W 65K W HV 02,,,1.59732
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195166626,1/2/2024 00:00:00,,4,S,108326629,108326629,550,550,2048805011,0,4.0,,1/10/2024 17:20:54.62,12/22/2023 11:14:00,C,SG00(S),PHILIPS-SG223540,Signify Netherlands B.V.,,CL200 EC RD 17W 65K W HV 02,,,5.2415
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195055923,1/3/2024 00:00:00,,1,S,823090509842,823090509842,44,44,0018871234 / 441095415,0,1.0,,1/4/2024 09:38:17.393,10/31/2023 21:38:00,C,SG00(S),PHILIPS-SG222903,"Signify Manufacturing Spain, S",,BGP235 LED260-4S/740 DSM35 N Tilt+MB,,,3.430064
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195055923,1/3/2024 00:00:00,,2,S,823090509843,823090509843,4,4,0018871234 / 441095415,0,2.0,,1/4/2024 09:38:17.393,10/31/2023 21:38:00,C,SG00(S),PHILIPS-SG222903,"Signify Manufacturing Spain, S",,BGP235 LED240-4S/730 DSM35 N Tilt+MB,,,0.556116
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195056122,1/3/2024 00:00:00,,1,S,910771120226,910771120226,10,10,0018861287 / 441095415,0,1.0,,1/4/2024 09:40:04.037,10/31/2023 21:38:00,C,SG00(S),PHILIPS-SG222900,"Signify Manufacturing Spain, S",,EVP500 1240/757 230V D9 T35 50K,,,0.1428
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195056123,1/3/2024 00:00:00,,1,S,823090509842,823090509842,20,20,0018871229 / 441095415,0,1.0,,1/4/2024 09:36:38.04,10/31/2023 21:38:00,C,SG00(S),PHILIPS-SG222901,"Signify Manufacturing Spain, S",,BGP235 LED260-4S/740 DSM35 N Tilt+MB,,,1.55912
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195056123,1/3/2024 00:00:00,,2,S,823090509843,823090509843,4,4,0018871229 / 441095415,0,2.0,,1/4/2024 09:36:38.04,10/31/2023 21:38:00,C,SG00(S),PHILIPS-SG222901,"Signify Manufacturing Spain, S",,BGP235 LED240-4S/730 DSM35 N Tilt+MB,,,0.556116
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195056124,1/3/2024 00:00:00,,1,S,912300058777,912300058777,40,40,0018871231 / 441095415,0,1.0,,1/4/2024 09:41:06.55,10/31/2023 21:38:00,C,SG00(S),PHILIPS-SG222902,"Signify Manufacturing Spain, S",,KIT SPD AV OV 230V,,,0.0992
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,0195060731,1/3/2024 00:00:00,,1,S,823090509844,823090509844,28,28,0018874962 / 441095485,0,1.0,,1/4/2024 09:34:18.98,11/2/2023 21:10:00,C,SG00(S),PHILIPS-SG222936,"Signify Manufacturing Spain, S",,BGP236 LED490-4S/730 DSM35 N Tilt+MB,,,3.359272
