project_id,WH_Code,supp_name,Supp_Code,Supp_Invoice_No,Arrival_Date,Request_Date,Line_Item_No,Ord_Type,SKU,alternate_sku,Req_Qty,Alloc_Qty,Ship_Ref,Damage_Qty,User_Field1,User_Field2,Complete_Date,ord_date,ord_status,cf_owner_Name,Ro_NO,User_Field7,Grp,description,native_description,unit_rate,Volume
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,195493981,,,2,B,108295063,108295063,10,10,2049985713 / 8285563502,0,2,,1/7/2025 13:46:16.557,6/27/2024 14:13:55.34,C,SG00(S),PHILIPS-S225809,Signify Netherlands B.V.,,Master LED 4.9-50W GU10 930 36D Dim,,,0.00208
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,195511779,,,6,B,108360877,108360877,6,6,2050040239 / 8285566487,0,6,,1/7/2025 13:43:25.787,6/25/2024 14:01:14.857,C,SG00(S),PHILIPS-S225783,Signify Netherlands B.V.,,LEDBulb 6.5W E14 930 P48 AU,,,0.002016
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,195950815,,,1,B,108274566,108274566,1,1,7045413743 / ICOR 01/006,0,1,,2/17/2025 09:29:41.747,2/7/2025 13:03:28.443,C,SG00(S),PHILIPS-S229415,Signify Poland Sp. z o.o.,,LP718P OS2 OUTER FRAME L2400,,,0.005652
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,195950815,,,2,B,108274567,108274567,2,0,7045413743 / ICOR 01/006,0,2,,2/17/2025 09:29:41.747,2/7/2025 13:03:28.443,C,SG00(S),PHILIPS-S229415,Signify Poland Sp. z o.o.,,LP718P OS2 REFLECTIVE INSERT L0600,,,0.0
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,196073539,,,2,B,108403147,108403147,20,20,2052089596 / 8285673707,0,2,,4/23/2025 13:23:56.823,4/7/2025 10:45:13.537,C,SG00(S),PHILIPS-S230313,Signify Netherlands B.V.,,Trackline connector I-Surface M 10PC,,,0.00106
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,196108708,,,1,B,108262939,108262939,12,0,2052230998 / 8285681225,0,1,,5/6/2025 12:46:04.43,5/5/2025 15:24:44.783,C,SG00(S),PHILIPS-S231064,Signify Industry,,HPI-T 1000W/543 E40 1SL/4,,,0.0
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,196108708,,,4,B,108305401,108305401,96,96,2052230998 / 8285681225,0,4,,5/6/2025 12:46:04.43,5/5/2025 15:24:44.783,C,SG00(S),PHILIPS-S231064,Signify Industry,,SON-T 150W E E40  SL/12,,,0.053568
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,196108708,,,2,B,108305401,108305401,96,96,2052230998 / 8285681225,0,2,,5/6/2025 12:46:04.43,5/5/2025 15:24:44.783,C,SG00(S),PHILIPS-S231064,Signify Industry,,SON-T 150W E E40  SL/12,,,0.053568
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,196108708,,,3,B,108305416,108305416,96,96,2052230998 / 8285681225,0,3,,5/6/2025 12:46:04.43,5/5/2025 15:24:44.783,C,SG00(S),PHILIPS-S231064,Signify Industry,,SON-T 400W E E40  SL/12,,,0.083328
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,196114815,,,1,B,108203419,108203419,99,99,2052251007 / 8285683444,0,1,,5/6/2025 10:58:34.087,5/6/2025 10:38:58.79,C,SG00(S),PHILIPS-S231071,Signify Luminaires (Chengdu) C,,WT198C LED19S/840 PSU L600,,,0.491832
PHILIPS-SG,PHILIPS,LGT SG00 (LOCAL),SG00,196125563,,,2,B,108412011,108412011,180,180,2052287514 / 8285683956,0,2,,5/6/2025 13:05:50.273,5/6/2025 12:54:27.453,C,SG00(S),PHILIPS-S231081,Signify Netherlands B.V.,,51108 Philips Hue DL WA 150mm Downlights,,,0.47664
