Project_ID,DO_No,WH_Name,Invoice_No,Ord_Type,Ord_Status,Ord_Date,request_Date,Schedule_Date,Complete_Date,Cust_Code,Cust_Name,Cust_Order_No,Carrier,Priority,Remark,Delivery_Notes,Carrier_Notified_date,Address_1,Address_2,Address_3,Address_4,City,State,Country,Zip,Ord_Type_Desc,Shipping_Route,Total_Weight,Total_Volume,Line_Item_No,SKU,Req_Qty,Alloc_Qty,L_Code,Serial_No,Lot_No,PO_No,PO_No2,Quantity,Owner_ID,cf_owner_Name,Grp,Unit_Rate,Permit_Nbr,mobile_Enabled_Ind,Mobile_Released_Time,Mobile_Pick_Start_Time,Mobile_Pick_Complete_Time,Mobile_User_Assigned,Batch_Code
PHILIPS-SG,PHILIPS-S0855081,MENLO BTS,SG00SCRP31MAR25 - A,S,C,4/1/2025 10:01:37.927,4/30/2025 00:00:00,4/17/2025 08:04:04.567,4/17/2025 08:04:04.567,PHS-SCRAP,PHS-SCRAP,,,1.0,,,,,,,,,,,,Sale,,12.0,0.144,1,100003975,4,4,J10541,-,-,2524275327,000040,4,189704,SG00(S),,,,,,,,,-
PHILIPS-SG,PHILIPS-S0855081,MENLO BTS,SG00SCRP31MAR25 - A,S,C,4/1/2025 10:01:37.927,4/30/2025 00:00:00,4/17/2025 08:04:04.567,4/17/2025 08:04:04.567,PHS-SCRAP,PHS-SCRAP,,,1.0,,,,,,,,,,,,Sale,,1.5,0.006909375,2,100034343,5,5,J10345,-,-,2524326071,000030,5,189704,SG00(S),,,,,,,,,-
PHILIPS-SG,PHILIPS-S0855081,MENLO BTS,SG00SCRP31MAR25 - A,S,C,4/1/2025 10:01:37.927,4/30/2025 00:00:00,4/17/2025 08:04:04.567,4/17/2025 08:04:04.567,PHS-SCRAP,PHS-SCRAP,,,1.0,,,,,,,,,,,,Sale,,9.5,0.05728725,3,100060485,1,1,J10541,-,-,2524247630,000020,1,189704,SG00(S),,,,,,,,,-
PHILIPS-SG,PHILIPS-S0855081,MENLO BTS,SG00SCRP31MAR25 - A,S,C,4/1/2025 10:01:37.927,4/30/2025 00:00:00,4/17/2025 08:04:04.567,4/17/2025 08:04:04.567,PHS-SCRAP,PHS-SCRAP,,,1.0,,,,,,,,,,,,Sale,,19.918,0.08786,4,101363038,46,46,J10545,-,-,2524250319,000020,46,189704,SG00(S),,,,,,,,,-
PHILIPS-SG,PHILIPS-S0855081,MENLO BTS,SG00SCRP31MAR25 - A,S,C,4/1/2025 10:01:37.927,4/30/2025 00:00:00,4/17/2025 08:04:04.567,4/17/2025 08:04:04.567,PHS-SCRAP,PHS-SCRAP,,,1.0,,,,,,,,,,,,Sale,,4.5,0.0096,5,101696085,1,1,J10345,-,-,2524275327,000020,1,189704,SG00(S),,,,,,,,,-
PHILIPS-SG,PHILIPS-S0855081,MENLO BTS,SG00SCRP31MAR25 - A,S,C,4/1/2025 10:01:37.927,4/30/2025 00:00:00,4/17/2025 08:04:04.567,4/17/2025 08:04:04.567,PHS-SCRAP,PHS-SCRAP,,,1.0,,,,,,,,,,,,Sale,,3.84,0.010584,6,101974874,24,24,JA0133,-,-,2524263422,000010,24,189704,SG00(S),,,,,,,,,-
PHILIPS-SG,PHILIPS-S0855081,MENLO BTS,SG00SCRP31MAR25 - A,S,C,4/1/2025 10:01:37.927,4/30/2025 00:00:00,4/17/2025 08:04:04.567,4/17/2025 08:04:04.567,PHS-SCRAP,PHS-SCRAP,,,1.0,,,,,,,,,,,,Sale,,9.2,0.055671,7,101988554,4,4,J10542,-,-,2524272836,000010,4,189704,SG00(S),,,,,,,,,-
PHILIPS-SG,PHILIPS-S0855081,MENLO BTS,SG00SCRP31MAR25 - A,S,C,4/1/2025 10:01:37.927,4/30/2025 00:00:00,4/17/2025 08:04:04.567,4/17/2025 08:04:04.567,PHS-SCRAP,PHS-SCRAP,,,1.0,,,,,,,,,,,,Sale,,5.0,0.029521799999999997,8,102089660,2,2,J10541,-,-,2524301848,000010,2,189704,SG00(S),,,,,,,,,-
PHILIPS-SG,PHILIPS-S0855081,MENLO BTS,SG00SCRP31MAR25 - A,S,C,4/1/2025 10:01:37.927,4/30/2025 00:00:00,4/17/2025 08:04:04.567,4/17/2025 08:04:04.567,PHS-SCRAP,PHS-SCRAP,,,1.0,,,,,,,,,,,,Sale,,2.625,0.01332,9,102263891,1,1,T10245,-,-,2524253582,000030,1,189704,SG00(S),,,,,,,,,-
PHILIPS-SG,PHILIPS-S0855081,MENLO BTS,SG00SCRP31MAR25 - A,S,C,4/1/2025 10:01:37.927,4/30/2025 00:00:00,4/17/2025 08:04:04.567,4/17/2025 08:04:04.567,PHS-SCRAP,PHS-SCRAP,,,1.0,,,,,,,,,,,,Sale,,2.4,0.014,10,102265323,1,1,T10247,-,-,2524336235,000010,1,189704,SG00(S),,,,,,,,,-
PHILIPS-SG,PHILIPS-S0855081,MENLO BTS,SG00SCRP31MAR25 - A,S,C,4/1/2025 10:01:37.927,4/30/2025 00:00:00,4/17/2025 08:04:04.567,4/17/2025 08:04:04.567,PHS-SCRAP,PHS-SCRAP,,,1.0,,,,,,,,,,,,Sale,,0.339,0.000954,11,102349367,3,3,J10542,-,-,2524232653,000030,3,189704,SG00(S),,,,,,,,,-
